Latitude,	Longitude,	Altitude,	LiDAR,	RemainDistance
0.613389,	0.583105,	73.1775,	0.23,		0
0.613389,	0.583105,	74.1575,	0.23,		0
0.613389,	0.583105,	74.1575,	0.23,		0
0.613389,	0.583105,	74.1575,	0.22,		0
0.613389,	0.583105,	74.1575,	0.22,		0
0.613389,	0.583105,	74.1575,	0.36,		0
0.613389,	0.583105,	74.1575,	0.54,		0
0.613389,	0.583105,	74.1575,	0.83,		0
0.613389,	0.583105,	74.1575,	1.05,		0
0.613389,	0.583105,	74.1575,	1.08,		0
0.613389,	0.583105,	74.1575,	1.07,		0
End loop 
0.613389,	0.583105,	73.1914,	1.08,		0
0.613389,	0.583105,	73.1914,	1.16,		0
0.613389,	0.583105,	73.1914,	1.19,		0
